feature,baseline_season,current_season,baseline_mean,current_mean,mean_change,psi,ks_statistic,ks_p_value,drift_status,interpretation
inspection_score,Fall_2024,Spring_2025,80.2181,78.3046,-1.9135,0.0707,0.0966,1e-06,major_drift,inspection_score decreased; inspection outcomes changed.
anomaly_score,Fall_2024,Spring_2025,-0.0672,-0.0627,0.0045,0.0364,0.0683,0.001035,major_drift,anomaly_score increased; unusual equipment signatures became more or less common.
predicted_defect_risk,Fall_2024,Spring_2025,0.2145,0.182,-0.0324,0.0349,0.065,0.002131,major_drift,predicted_defect_risk decreased; overall model-estimated quality risk shifted.
age_days,Fall_2024,Spring_2025,290.7699,284.1883,-6.5816,0.0161,0.0381,0.187168,stable,age_days decreased; feature distribution changed.
laundry_cycles,Fall_2024,Spring_2025,12.1746,11.2246,-0.95,0.0145,0.0428,0.101949,stable,laundry_cycles decreased; feature distribution changed.
rain_exposure_count,Fall_2024,Spring_2025,3.3549,3.2428,-0.1121,0.0126,0.0364,0.229843,stable,rain_exposure_count decreased; feature distribution changed.
usage_sessions,Fall_2024,Spring_2025,46.3984,44.6194,-1.779,0.0125,0.036,0.241505,stable,usage_sessions decreased; usage volume changed between seasons.
surface_wear_score,Fall_2024,Spring_2025,30.8019,30.4319,-0.37,0.0117,0.0238,0.739169,stable,surface_wear_score decreased; visible wear patterns changed.
impact_count,Fall_2024,Spring_2025,77.5238,74.2159,-3.3079,0.0111,0.0254,0.663162,stable,impact_count decreased; contact or collision exposure changed.
practice_exposure_count,Fall_2024,Spring_2025,40.1328,38.7249,-1.4078,0.0086,0.0365,0.228238,stable,practice_exposure_count decreased; feature distribution changed.
game_exposure_count,Fall_2024,Spring_2025,6.2656,5.8944,-0.3712,0.0082,0.0272,0.581268,stable,game_exposure_count decreased; feature distribution changed.
storage_humidity,Fall_2024,Spring_2025,54.8615,55.0615,0.2,0.0062,0.0335,0.319292,stable,storage_humidity increased; storage environment changed.
material_condition_score,Fall_2024,Spring_2025,73.4563,74.0836,0.6273,0.0058,0.0308,0.420299,stable,material_condition_score increased; material condition shifted.
repair_count,Fall_2024,Spring_2025,0.8746,0.8056,-0.069,0.0057,0.0307,0.423215,stable,repair_count decreased; repair frequency changed.
fit_complaint_count,Fall_2024,Spring_2025,0.5031,0.4539,-0.0492,0.002,0.021,0.859264,stable,fit_complaint_count decreased; fit-related complaints shifted.
